"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type","age_interval"
0.489696835520986,-0.225409117935191,0.141,0.12,1,"TSPAN12","ExcitatoryNeuron","60-70"
0.492726741943592,-1.45578207577159,0.04,0.052,1,"UBE2Q2P2","ExcitatoryNeuron","60-70"
0.493038636507884,-1.66934254586284,0.07,0.055,1,"GDF9","ExcitatoryNeuron","60-70"
0.495502742435363,0.818357022254869,0.225,0.207,1,"SNORD164","ExcitatoryNeuron","60-70"
0.497545595352706,-1.92261261325961,0.159,0.172,1,"TPBG","ExcitatoryNeuron","60-70"
0.498153978087957,0.531357201949411,0.115,0.099,1,"FIBCD1","ExcitatoryNeuron","60-70"
0.498184843428924,0.402386567034753,0.278,0.248,1,"LINC01149","ExcitatoryNeuron","60-70"
0.498274044472354,-2.43983158971958,0.048,0.061,1,"ISCUP1","ExcitatoryNeuron","60-70"
0.506937493105658,1.70053828243841,0.066,0.052,1,"RPS7P11","ExcitatoryNeuron","60-70"
0.507956013132856,0.241258112960248,0.145,0.163,1,"UPP2","ExcitatoryNeuron","60-70"
0.508017227376499,0.143382763331624,0.419,0.399,1,"RN7SL189P","ExcitatoryNeuron","60-70"
0.508091464892212,-1.73299538867761,0.057,0.07,1,"OR5H3P","ExcitatoryNeuron","60-70"
0.509957706158184,0.368388476040185,0.053,0.041,1,"SQSTM1","ExcitatoryNeuron","60-70"
0.51049403435685,-0.838305025251195,0.079,0.093,1,"RPL4P3","ExcitatoryNeuron","60-70"
0.521014276547618,1.24317822083633,0.053,0.067,1,"RTF1","ExcitatoryNeuron","60-70"
0.521358438547073,-2.13165219656079,0.044,0.055,1,"PSME3","ExcitatoryNeuron","60-70"
0.528412615467285,1.08563345307046,0.308,0.297,1,"TCEAL8P1","ExcitatoryNeuron","60-70"
0.531059259820173,-0.954192830275729,0.066,0.052,1,"LINC02854","ExcitatoryNeuron","60-70"
0.532448943163386,-0.861104686138011,0.106,0.087,1,"PTH2","ExcitatoryNeuron","60-70"
0.534151025873516,1.65834340250819,0.079,0.067,1,"LINC02006","ExcitatoryNeuron","60-70"
0.541042871562753,-1.16942281820057,0.044,0.055,1,"UNC93B2","ExcitatoryNeuron","60-70"
0.551444409171457,-0.474951421639069,0.079,0.093,1,"PI4K2A","ExcitatoryNeuron","60-70"
0.552152154575586,-0.86226213885248,0.097,0.082,1,"CIR1P2","ExcitatoryNeuron","60-70"
0.555222640901524,0.715732347351199,0.048,0.061,1,"MRPS17P5","ExcitatoryNeuron","60-70"
0.555963964547275,0.235767945395174,0.159,0.178,1,"RNU6-765P","ExcitatoryNeuron","60-70"
